Protein,Whole Cell,Cell bodies,MB,Anterior,Posterior,total,upper_plus_lower,binomial_antpos,MB+body,binomial_MB_body,Whole Cell normalized,Cell bodies normalized,MB normalized,Anterior normalized,Posterior normalized,MB RA vs whole cells,Cell bodies RA vs whole cells,Posterior RA vs whole cells,Anterior RA vs whole cells,MB RA vs cell bodies,prot.cluster,RNAseq,Manual Annotation,Description from StentorDB,SpAntClusterByTime,SpAntClusterAssignment,SpPostClusterByTime,SpPostClusterAssignment,Biological Function,Oxytricha Homolog Annotation,Oxytricha Homolog url
SteCoe_26850,2,5,0,8,2,17,10,0.962765182,5,0.022516889,5.9,5.9,0,5.6,2,0,0.983333333,0.333333333,0.933333333,0,3,,,vATP-synt_AC39 domain protein,180,3,300,4,vacuole,ATP synthase (C/AC39) subunit,http://oxy.ciliate.org/index.php/feature/details/Contig5208.0.g47
SteCoe_1281,1,4,1,8,2,16,10,0.962765182,5,0.150355835,2.9,4.8,1,5.6,2,0.333333333,1.6,0.666666667,1.866666667,0.204081633,2,,,zf-CDGSH domain protein,,,,,mitochondria,Iron-binding zinc finger CDGSH type,http://oxy.ciliate.org/index.php/feature/details/Contig10969.0.g69
SteCoe_5795,4,7,3,13,4,31,17,0.965255335,10,0.124755405,11.7,8.3,3,9.1,4,0.254237288,0.703389831,0.338983051,0.771186441,0.357142857,3,,,Enolase_N domain protein,,,,,,Enolase; C-terminal TIM barrel domain,http://oxy.ciliate.org/index.php/feature/details/Contig15891.0.g72
SteCoe_853,1,4,3,6,1,15,7,0.976969242,7,0.430881926,2.9,4.8,3,4.2,1,1,1.6,0.333333333,1.4,0.612244898,2,OA 1,PEPCK,PEPCK_ATP domain protein,,,,,gluconeogenesis,Phosphoenolpyruvate carboxykinase,http://oxy.ciliate.org/index.php/feature/details/Contig17392.0.g62
SteCoe_21382,1,7,1,22,7,38,29,0.984807045,8,0.023315468,2.9,8.3,1,15.3,7,0.333333333,2.766666667,2.333333333,5.1,0.119047619,2,bisection 2,Importin Beta,HEAT domain protein,,,,,nucleus,HEAT repeat,http://oxy.ciliate.org/index.php/feature/details/Contig13077.0.g34
SteCoe_3003,1,4,3,7,1,16,8,0.986561454,7,0.430881926,2.9,4.8,3,4.9,1,1,1.6,0.333333333,1.633333333,0.612244898,2,,,Alba domain protein,,,,,nucleus,,
SteCoe_22223,0,3,2,7,1,13,8,0.986561454,5,0.440676502,0,3.6,2,4.9,1,20,36,10,49,0.540540541,2,,,SHMT domain protein,,,180,3,,Serine hydroxymethyltransferase,http://oxy.ciliate.org/index.php/feature/details/Contig389.0.g102
SteCoe_7023,0,3,0,7,1,11,8,0.986561454,3,0.102684534,0,3.6,0,4.9,1,0,36,10,49,0,2,sucrose 3,,SPRY domain protein,,,,,,HECT-domain (ubiquitin-transferase),http://oxy.ciliate.org/index.php/feature/details/Contig9534.0.g50
SteCoe_2044,1,4,7,16,4,32,20,0.988974293,11,0.840492946,2.9,4.8,7,11.2,4,2.333333333,1.6,1.333333333,3.733333333,1.428571429,2,general 1,,Aconitase domain protein,,,,,metabolic process,Aconitase family (aconitate hydratase),http://oxy.ciliate.org/index.php/feature/details/Contig8489.0.g83
SteCoe_21608,3,5,1,8,1,18,9,0.992158551,6,0.082380769,8.8,5.9,1,5.6,1,0.112359551,0.662921348,0.112359551,0.629213483,0.166666667,3,sucrose 1,Echinoderm MT related protein,HELP domain protein,,,300,4,cilia,WD domain; G-beta repeat,http://oxy.ciliate.org/index.php/feature/details/Contig14813.0.g80
SteCoe_16296,2,4,0,8,1,15,9,0.992158551,4,0.048084679,5.9,4.8,0,5.6,1,0,0.8,0.166666667,0.933333333,0,3,,,TIP49 domain protein,,,,,,TIP49 C-terminus,http://oxy.ciliate.org/index.php/feature/details/Contig13363.0.g11
SteCoe_11235,2,2,1,10,0,15,10,1,3,0.452477499,5.9,2.4,1,7,0,0.166666667,0.4,0,1.166666667,0.4,3,,,S-AdoMet_synt_N domain protein,,,,,S-adenosylmethionine biosynthetic process,S-adenosylmethionine synthetase; C-terminal domain,http://oxy.ciliate.org/index.php/feature/details/Contig11689.0.g109
SteCoe_25984,0,3,0,8,0,11,8,1,3,0.102684534,0,3.6,0,5.6,0,0,36,0,56,0,2,,,Ribosomal_60s domain protein,,,,,translation,,
SteCoe_26225,1,2,2,6,0,11,6,1,4,0.638470897,2.9,2.4,2,4.2,0,0.666666667,0.8,0,1.4,0.8,3,,,SPRY domain protein,,,,,,,
SteCoe_816,0,1,1,6,0,8,6,1,2,0.717269335,0,1.2,1,4.2,0,10,12,0,42,0.769230769,NA,,,Proteasome_A_N domain protein,,,,,proteolysis involved in cellular protein catabolic process,Proteasome subunit,http://oxy.ciliate.org/index.php/feature/details/Contig13605.0.g11
SteCoe_115,0,2,1,5,0,8,5,1,3,0.452477499,0,2.4,1,3.5,0,10,24,0,35,0.4,NA,,,ADH_N domain protein,,,,,oxidation-reduction process,,
SteCoe_20449,0,2,1,5,0,8,5,1,3,0.452477499,0,2.4,1,3.5,0,10,24,0,35,0.4,NA,,,Aldedh domain protein,,,300,4,oxidation-reduction process,Aldehyde dehydrogenase family,http://oxy.ciliate.org/index.php/feature/details/Contig20955.0.g102
SteCoe_18682,1,2,0,5,0,8,5,1,2,0.219282189,2.9,2.4,0,3.5,0,0,0.8,0,1.166666667,0,NA,sucrose 4,,Peptidase_M24 domain protein,,,,,,FACT complex subunit (SPT16/CDC68),http://oxy.ciliate.org/index.php/feature/details/Contig22561.0.g34
SteCoe_27,0,1,0,5,0,6,5,1,1,0.468275762,0,1.2,0,3.5,0,0,12,0,35,0,NA,,,PP2C domain protein,,,,,,Protein phosphatase 2C,http://oxy.ciliate.org/index.php/feature/details/Contig7534.0.g67
SteCoe_32440,0,1,0,5,0,6,5,1,1,0.468275762,0,1.2,0,3.5,0,0,12,0,35,0,NA,sucrose 3,,ACAS_N domain protein,,,,,metabolic process,AMP-binding enzyme,http://oxy.ciliate.org/index.php/feature/details/Contig18533.0.g53
SteCoe_685,0,1,0,5,0,6,5,1,1,0.468275762,0,1.2,0,3.5,0,0,12,0,35,0,NA,,,Metallophos domain protein,,,,,,Calcineurin-like phosphoesterase,http://oxy.ciliate.org/index.php/feature/details/Contig22598.0.g111
