gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,color,-log10(padj),domain
SteCoe_10155,8273.269372183362,0.2064724572614433,0.046454536394511706,4.444613449760672,8.805003531873132e-06,0.0003708521605909642,anterior,3.4307991864378145,Peptidase_C1 domain protein
SteCoe_10162,21254.345626041006,0.21835420763939106,0.04763849558257268,4.583566398752322,4.5711163889002934e-06,0.0002254309916133415,anterior,3.6469863786118686,hypothetical protein
SteCoe_10166,1743.8285913710295,-0.1357866780396909,0.07100234728297164,-1.9124251976984483,0.05582167858990572,0.1937292580219156,posterior,0.7128047848673006,hypothetical protein
SteCoe_10168,1269.2796410619464,0.24720079626507926,0.0788849881657086,3.1336861678396972,0.001726253747174771,0.017289233557117836,anterior,1.76222425885403,hypothetical protein
SteCoe_10181,676.5534863469028,0.33931944766598204,0.12004848116483016,2.8265201223169685,0.004705678744454407,0.035874710428089755,anterior,1.4452115957629068,hypothetical protein
SteCoe_10184,1013.4355563748649,-0.3871004916137241,0.11384550436682934,-3.400226418835313,0.0006733007508245518,0.008826067669188139,posterior,2.0542327471536863,PLK family kinase
SteCoe_1019,4581.429519174179,0.11932841491336858,0.05185871018437824,2.301029363999005,0.021389971368105793,0.10227529077351794,anterior,0.9902292771079576,Acyl_transf_3 domain protein
SteCoe_10197,11349.172582680165,0.21459182142634753,0.05504793440572378,3.898272001356597,9.688155907394187e-05,0.0020862864218086823,anterior,2.680626068454118,Nop14 domain protein
SteCoe_10203,341.2639219107711,0.37991319713485716,0.15074841551878876,2.520180366920713,0.011729471327613697,0.06845343829731153,anterior,1.16460473312462,DUF3523 domain protein
SteCoe_10209,1472.5777134160146,0.19626133799329268,0.09625946241548827,2.038878392507145,0.04146216591260822,0.1597011347218319,anterior,0.7966919980651531,hypothetical protein
SteCoe_10212,2186.4333875972225,0.15454299669698787,0.06215693962246785,2.486335357494423,0.012906627570075062,0.0729508007229706,anterior,1.1369699368389439,DUF2012 domain protein
SteCoe_10228,987.7079091759045,-0.32862420255323965,0.0953134238193083,-3.4478270676356497,0.0005651157356956122,0.007745495134816498,posterior,2.11095081451609,hypothetical protein
SteCoe_10234,2060.051645964966,0.1311398956678931,0.06538261849401387,2.0057302489330504,0.04488503605885817,0.16854903231316978,anterior,0.7732737365411522,Ribosomal_L6 domain protein
SteCoe_10235,2658.469170054263,0.26852185440123466,0.0653743674130248,4.107448607567497,4.000537541576289e-05,0.001097348726809195,anterior,2.959655335905979,zf-CCCH domain protein
SteCoe_10239,1752.7347035090977,0.21812908905584105,0.06861397172811369,3.1790768492485544,0.001477449144866323,0.015525786761821743,anterior,1.8089463829285022,CK1 kinase
SteCoe_10246,851.3783392668538,-0.29031939376274235,0.09740620474574145,-2.980502058575842,0.0028777630386812906,0.02491445190338962,posterior,1.6035486624945983,PH domain protein
SteCoe_1027,127.43517518186057,-0.4768141664186327,0.19545730144290438,-2.439479942159727,0.014708419172126974,0.07977738963718552,posterior,1.098120178162968,hypothetical protein
SteCoe_10275,169.3672833261908,0.4332774252912557,0.16862445569058937,2.5694815352660383,0.010185081951030217,0.0618051264513496,anterior,1.2089755006847127,hypothetical protein
SteCoe_10276,2439.3594570428686,0.1276182391345889,0.05930550973003063,2.151878294538401,0.031406941205794674,0.13317391233291093,anterior,0.8755808415282569,MIF4G domain protein
SteCoe_10309,2756.244388517929,0.16211456109520014,0.05921409706466188,2.7377697057200887,0.006185737559176595,0.04335091560179095,anterior,1.3630017254863598,SNF2_N domain protein
SteCoe_10313,1934.469475850781,0.14871886939838994,0.07138935279375605,2.0832079795994085,0.03723227007992646,0.1486367349573284,anterior,0.8278738432158098,DUF2475 domain protein
SteCoe_10316,80.61421467270249,-0.5473276804571627,0.27613976224552494,-1.9820676167980322,0.04747167335037371,0.1750492337634053,posterior,0.7568397859161049,Kinesin domain protein
SteCoe_1032,1105.6275997830405,-0.35798449491538137,0.09748340638038723,-3.672260830920293,0.00024041411651086307,0.004107042435178376,posterior,2.386470809864001,zf-RING_2 domain protein
SteCoe_10323,581.9150423712225,0.3769966434022405,0.09543149447301702,3.9504426236229087,7.800679717920042e-05,0.001798583955813863,anterior,2.7450692850093956,hypothetical protein
SteCoe_10338,198.8139982456803,-0.45780666486938604,0.1785432760676472,-2.5641215673444373,0.010343730838322912,0.06243075984215587,posterior,1.2046013792566455,hypothetical protein
SteCoe_10341,952.3816539222931,0.2472617529663782,0.08131446498082139,3.0408089510851077,0.0023594348963628265,0.021623765140314076,anterior,1.6650686842358722,hypothetical protein
SteCoe_10343,10634.410083939902,0.13165976510972224,0.05192564070364813,2.5355443539182416,0.011227270975984537,0.06622314229816133,anterior,1.1789902157558887,DEAD domain protein
SteCoe_10348,1897.0508829761002,0.16637083308034306,0.061659595907600166,2.6982147811941175,0.0069712446993819635,0.047318486748443245,anterior,1.3249691526178464,ULK family kinase
SteCoe_10357,350.10137138345937,-0.3936461270879362,0.11991361577915882,-3.2827475389692364,0.0010280068565329786,0.011962974612754891,posterior,1.922160818902736,hypothetical protein
SteCoe_10363,349.1741628215265,-0.25811477605745287,0.12042064387475644,-2.1434429160327797,0.03207755016033971,0.13468030006368348,posterior,0.8706959246877448,KIAA1430 domain protein
SteCoe_10368,312.7540995629723,-0.45571397427916127,0.12696878367917552,-3.5891812229268765,0.0003317181899949839,0.005204636465211525,posterior,2.283609599806922,Voltage_CLC domain protein
SteCoe_10372,352.6357886966218,0.330194137464209,0.12280312934136735,2.688808821364295,0.007170747362495269,0.048152245024755964,anterior,1.3173834597516187,pseudokinase domain containing protein
SteCoe_10375,1278.5585101006186,0.1577504791637168,0.07110876473656748,2.218439312623779,0.026524893154537536,0.11852114844569879,anterior,0.9262041489468525,hypothetical protein
SteCoe_10380,2105.990268903871,-0.1699483182995242,0.06501310930207894,-2.614062304109638,0.008947271896726618,0.05662716185023717,posterior,1.2469752046399203,ABC_membrane domain protein
SteCoe_10383,497.7978437685867,-0.272128477246368,0.13735608881631758,-1.9811897644397676,0.04756999665053556,0.17532097143174602,posterior,0.7561661316395818,hypothetical protein
SteCoe_10392,252.72717208426295,0.268178376195905,0.1356692997259824,1.9767064231742726,0.04807482434721719,0.17667319050748537,anterior,0.7528293480485505,cNMP_binding domain protein
SteCoe_10401,474.26092292030916,-0.2105119844926117,0.10800750972983549,-1.9490495153455132,0.05128951178457362,0.18359021526492803,posterior,0.7361504689391741,hypothetical protein
SteCoe_10406,365.0702991445851,-0.23797788080965362,0.11685444300373475,-2.036532584405436,0.04169690456294852,0.16040275626683528,posterior,0.7947881733262155,hypothetical protein
SteCoe_10409,143.4740253175735,-0.7353826248195814,0.2264002274588895,-3.2481532067060956,0.0011615670814397476,0.013034210960096885,posterior,1.8849152541809484,hypothetical protein
SteCoe_10410,704.2389245301059,0.20081015841443495,0.10587499308959543,1.8966722221601637,0.05787121205445834,0.19782005157850222,anterior,0.703729689237656,hypothetical protein
SteCoe_10414,166.19594827896813,0.37182307937683073,0.18611506288271576,1.9978129315150743,0.045736944850630075,0.17074593012943262,anterior,0.7676496392914927,Ion_trans_2 domain protein
SteCoe_10419,554.1086330158186,-0.4257800428387423,0.10886064013121526,-3.9112395657928154,9.182363529596235e-05,0.0020069620349129785,posterior,2.6974608428507043,hypothetical protein
SteCoe_10422,2222.321046747284,0.22184846779186695,0.06395079058614402,3.4690496514351783,0.0005223029172287194,0.007292148830715233,anterior,2.1371444760978684,hypothetical protein
SteCoe_10425,320.76506664899176,-0.296521270926029,0.15143269312290505,-1.958106039132302,0.050217571276175973,0.18110893717808846,posterior,0.7420601180384586,hypothetical protein
SteCoe_10434,3876.621723684364,0.1647960983267009,0.05368282030100193,3.069810740245798,0.0021419445644660314,0.020122782327148103,anterior,1.6963119706446546,WD40 domain protein
SteCoe_10447,1567.4392823882356,0.1807405303048037,0.06718457552897142,2.6902087105821564,0.007140734416024714,0.0480111286539691,anterior,1.3186580844405564,RRM_1 domain protein
SteCoe_10450,10991.056924931627,0.1617353939079151,0.05474603264018812,2.954285198544012,0.003133942363496102,0.02654589656092652,anterior,1.5760026022162998,14-3-3 domain protein
SteCoe_1046,288.3552200020262,0.26783416316584174,0.12916930499907991,2.0735124584571354,0.03812461288494028,0.15087342170960244,anterior,0.8213872600355767,PH_BEACH domain protein
SteCoe_10464,926.5255189984063,0.16376782382013488,0.0838695100536754,1.9526502982469502,0.05086104678340403,0.1826891157296568,anterior,0.7382873263166412,Thioredoxin_8 domain protein
SteCoe_10472,11478.986510044693,0.24523558794213954,0.05558552842939903,4.41186033256158,1.024862188675376e-05,0.00041370334928117166,anterior,3.383310963106317,Ribosomal_L14e domain protein
SteCoe_10473,887.5301282387719,-0.2309763739294623,0.10051848752727834,-2.2978496753324187,0.021570346359358138,0.1028849940556946,posterior,0.987647963177722,PH domain protein
SteCoe_10476,877.9288249000089,-0.1786323280713662,0.08405100204286668,-2.12528493093113,0.033562844895095686,0.1389493970317707,posterior,0.8571433334950507,NEK family kinase
SteCoe_10478,794.8908143364644,0.43996337650829365,0.10871025681685255,4.047119281941476,5.1851821640798397e-05,0.0013421136961425562,anterior,2.8722106916813535,zf-RING_2 domain protein
SteCoe_10487,2527.710635216934,0.14069247348125097,0.07285735390237794,1.9310675717068417,0.05347469664721836,0.18851311529686474,anterior,0.7246584295276115,PUB domain protein
SteCoe_10490,47653.543340444136,0.2761469509609991,0.05446691195475889,5.069994627020003,3.978269330693144e-07,3.9148370178627374e-05,anterior,4.407286313737901,hypothetical protein
SteCoe_10491,171.3536354516442,-0.3300225122684637,0.16511231006345842,-1.9987759370674696,0.04563260246957779,0.17044579204746615,posterior,0.7684137161313285,hypothetical protein
SteCoe_10502,1279.1046624506655,0.15369342364750566,0.07571891157038738,2.029789130085872,0.04237797833700927,0.16220457956775336,anterior,0.7899368883928763,hypothetical protein
SteCoe_10506,6466.454326997311,0.1565237754805832,0.05436922823625762,2.8789037578466306,0.0039906009564280856,0.031596326593832165,anterior,1.5003634057601543,UQ_con domain protein
SteCoe_10507,362.2488210007923,-0.3597572385633802,0.13757986032876124,-2.614897541716522,0.008925422519327077,0.05658951083067411,posterior,1.247264060163579,hypothetical protein
SteCoe_10509,416.4765832951994,-0.5217733236588176,0.11473221434597394,-4.547749092381455,5.422272515154729e-06,0.00025616638780666834,posterior,3.5914778556519833,hypothetical protein
SteCoe_10522,110.15669073555803,-0.4407236315951107,0.22448127060206058,-1.9632980088409442,0.04961155669156617,0.17986505629740304,posterior,0.7450532020312256,hypothetical protein
SteCoe_10525,1233.7890581277954,0.20715026512570536,0.07513857922183476,2.756909529978295,0.005835049332923981,0.04178458868385603,anterior,1.378983868552709,zf-C2HC5 domain protein
SteCoe_10529,1176.1230561694713,0.2830674390185791,0.08460283217769225,3.3458388062476385,0.0008203407025570969,0.010220277340959304,anterior,1.9905373188770437,Ribosomal_L18 domain protein
SteCoe_10531,146.7216808041122,0.4654382644739817,0.22742917550418965,2.046519596450841,0.040705276445228596,0.157871662881667,anterior,0.80169581653096,2-oxoacid_dh domain protein
SteCoe_10539,43083.256824371645,0.1044898207788007,0.04854839613768558,2.1522816218781475,0.0313751803974286,0.13306566081562868,anterior,0.8759340049490667,Clathrin_H_link domain protein
SteCoe_10558,947.7792782582345,0.23826179600825814,0.08067519918616009,2.953346237899741,0.003143491672998598,0.026586042983338665,anterior,1.5753462974327959,TIP49 domain protein
SteCoe_10560,911.2626714414882,0.1742740613835927,0.08911063053554028,1.9557045027763147,0.05049997400467936,0.18181164669896088,anterior,0.7403782996889746,kinase domain containing protein
SteCoe_10563,3095.628846161852,0.24083331259047214,0.05714646104590582,4.2143171804989015,2.5053499476813593e-05,0.000778737158410302,anterior,3.1086091019090536,MAPK family kinase
SteCoe_10566,4540.171803818569,0.2791178149988563,0.06594804092374418,4.232389788827854,2.3122122598803224e-05,0.0007325664777074837,anterior,3.135152958562213,Mito_carr domain protein
SteCoe_10569,1835.809504626702,0.17056102174704557,0.07032711462760356,2.4252526589523975,0.01529773600414732,0.08211861604639564,anterior,1.0855583784499878,DUF962 domain protein
SteCoe_10571,121.0196235746348,-0.4128584256495134,0.2050789396907811,-2.013168325679971,0.04409692420696972,0.16633911314531558,posterior,0.7790056183337092,hypothetical protein
SteCoe_10586,2070.796101761105,-0.23687945113467518,0.07414630348553516,-3.1947573917948158,0.0013994843029957436,0.014961213118667828,posterior,1.8250331906037027,Kinesin domain protein
SteCoe_10587,583.9769538368273,0.199293985920113,0.09812659977560832,2.0309884004525776,0.04225617129271675,0.16182537334732308,anterior,0.7909533823480657,UVR domain protein
SteCoe_10589,3059.7992550270083,0.17588407738048975,0.06726215327054522,2.6149040556736263,0.008925252305074205,0.05658951083067411,anterior,1.247264060163579,eIF3_subunit domain protein
SteCoe_10592,598.1961176043861,0.26757509245926475,0.092326703316597,2.8981332902326695,0.0037539101497734285,0.030249432957834638,anterior,1.5192827620228042,Methyltransf_11 domain protein
SteCoe_10599,638.3055867620316,0.17999552548817593,0.09472193795857346,1.9002517195847153,0.05740009395923843,0.19678719572684078,anterior,0.7060031630494227,Ion_trans_2 domain protein
SteCoe_106,870.16267500848,0.21998065841131118,0.08365855283269731,2.629505901820159,0.008550904763852991,0.0547842845266477,anterior,1.261344005789307,cNMP_binding domain protein
SteCoe_10600,13886.862343229446,0.2594945318661474,0.04697695374137359,5.523868859074298,3.316150208649817e-08,5.804350127500671e-06,anterior,5.236246398120034,hypothetical protein
SteCoe_10604,121.6784699647783,-0.47805924828496266,0.2325831737861472,-2.0554335057983297,0.039837152029626774,0.1558026638169689,posterior,0.8074251213032456,hypothetical protein
SteCoe_10606,1041.5263874585119,0.25284838521435854,0.0806327291638885,3.135803386989871,0.0017138405937411382,0.017189925804954563,anterior,1.7647259978079073,Ras domain protein
SteCoe_10607,735.0425923634549,0.2400187790241796,0.09397389502941178,2.554100571749835,0.010646250073451734,0.06376999272608368,anterior,1.1953836325504883,LRR_8 domain protein
SteCoe_10608,2908.8754646189223,0.122865990495466,0.06409836541738496,1.9168350034420987,0.0552588964925519,0.19249567303457638,anterior,0.7155790282247118,Fcf2 domain protein
SteCoe_10609,1191.1099401082813,-0.22516816470061668,0.07978220483658985,-2.822285560568385,0.004768269855598112,0.03622256652310284,posterior,1.4410207813181426,hypothetical protein
SteCoe_10614,4073.233995637787,0.2237504408933655,0.06002480651295004,3.72763285534444,0.00019328667548124053,0.003471357164193785,anterior,2.4595006999389475,Fer4_7 domain protein
SteCoe_10620,52617.619693084525,0.1517387986697908,0.06875599608563555,2.206917320793378,0.02731983610543578,0.12111865604432409,anterior,0.9167889568315539,Ribosomal_S26e domain protein
SteCoe_10626,108.10848764238115,-0.7399052092090701,0.23976208191809062,-3.08599759932783,0.002028704601089175,0.019363024896938183,posterior,1.7130267961273018,hypothetical protein
SteCoe_10627,4081.7549325398554,-0.1496013697208077,0.05381077946538016,-2.7801375710800773,0.0054335874313603755,0.039672786738622255,posterior,1.4015072922735485,TPH domain protein
SteCoe_10628,165.60264106998625,0.6513081846515211,0.19453373615500158,3.3480474776496782,0.000813830679737811,0.010151016550888561,anterior,1.9934904641216942,Tim17 domain protein
SteCoe_10638,289.96280512472845,0.47196324388333627,0.12931119009966735,3.649825227960302,0.00026241879577353696,0.004383757133985684,anterior,2.3581535143529626,CDPK family kinase
SteCoe_10640,135401.4033403452,0.11824283004452607,0.04572431872378188,2.5859943536572865,0.0097098521147481,0.06005025228999991,anterior,1.2214851636495074,hypothetical protein
SteCoe_10650,1951.9056608752169,0.14729055745991557,0.0668514455128332,2.203251647440305,0.027577016905949304,0.12169448625948368,anterior,0.9147290983625982,Enolase_N domain protein
SteCoe_10652,1071.8929780928872,-0.3523756614121574,0.08066560760770794,-4.368350674624887,1.2518836779455735e-05,0.00047064655033186224,posterior,3.327305120184978,CAMKL family kinase
SteCoe_10663,7961.150361504224,0.12640470844626803,0.06595780355357037,1.9164481173725438,0.05530808113769797,0.19254236999497149,anterior,0.7154736867776116,Alba domain protein
SteCoe_10665,163.86950134529445,-0.41421095986536594,0.1756042601462698,-2.3587751203777647,0.01833536302368942,0.09247098552647415,posterior,1.0339945137735227,hypothetical protein
SteCoe_10667,803.0660662704631,0.6326370090488523,0.1611489813145175,3.9257896878300635,8.644566256671452e-05,0.0019268900610121312,anterior,2.7151430633714417,Ribosomal_S19e domain protein
SteCoe_10674,145.307481602005,-0.5566679901792939,0.1877649307495615,-2.9647069234764114,0.0030297141210632343,0.025901600084655488,posterior,1.58667340632524,Yip1 domain protein
SteCoe_10678,586.9450727403068,0.27894441216056987,0.09744833061814911,2.862485282109269,0.004203327819442178,0.03278227255528425,anterior,1.4843609432606484,Rubis-subs-bind domain protein
SteCoe_1068,1399.604747554299,0.15286807644751008,0.06709405494788774,2.278414631016763,0.022701885497394825,0.10644048451871714,anterior,0.9728931572010104,hypothetical protein
SteCoe_10690,1852.512374620978,0.18958102417787562,0.06326188899863192,2.9967651484762876,0.0027286083353179956,0.02399781811877285,anterior,1.6198282425405917,Rxt3 domain protein
SteCoe_10694,900.6424985672385,-0.2484866731449833,0.08342184197124272,-2.9786764146330156,0.002894963251916163,0.02503809043394805,posterior,1.6013987962931895,JmjN domain protein
SteCoe_10695,128.26854969430227,-0.6861583658961525,0.2052883019050529,-3.3424133744040856,0.0008305327402831057,0.010293207275685107,posterior,1.987449281690315,DSPc domain protein
SteCoe_10697,147.62326263735966,-0.39405862930548624,0.1821217293992274,-2.1637101218255723,0.03048660369919944,0.13059396898549747,posterior,0.8840768789322911,hypothetical protein
SteCoe_10704,1406.2328030699653,0.19479005440742211,0.07230646072876624,2.693950892412125,0.0070610567308669785,0.04773086591672474,anterior,1.3212006867432444,DUF947 domain protein
SteCoe_1071,241.2486515119217,-0.4673181961098973,0.1565616528520884,-2.9848828726367373,0.0028368692725428686,0.024665515653860104,posterior,1.6079098008065384,hypothetical protein
SteCoe_10711,1244.160622954693,-0.41071248422611606,0.0928011561585406,-4.42572594165162,9.611849152938235e-06,0.00039547481081279976,posterior,3.4028811730345367,hypothetical protein
SteCoe_10712,1831.5862599227803,0.21350392846273908,0.06597059430285562,3.2363499331625287,0.001210688660637154,0.013444121507668117,anterior,1.8714675710410529,CAMK related kinase
SteCoe_10724,591.1567536632188,-0.2279177757816207,0.09896206826304949,-2.3030821786767444,0.021274219809396692,0.10192723576617836,posterior,0.9917097535548361,FAT domain protein
SteCoe_10737,379.68335793903094,0.36630752448863857,0.11532532494977295,3.1762973540128727,0.0014916796589508868,0.015607142887579443,anterior,1.8066765935248492,MAPK family kinase
SteCoe_10743,306.323126929011,-0.30245662311746596,0.15988192120890837,-1.8917499916845728,0.058524299123049496,0.1993162781155519,posterior,0.7004572311185288,hypothetical protein
SteCoe_10746,477.4880859162206,0.35684200623765944,0.11706485477958553,3.04824199294943,0.0023018448085934053,0.021269404605237373,anterior,1.6722446671390716,IPK domain protein
SteCoe_10748,1004.598773467335,-0.3460705985316398,0.11059302475992923,-3.12922627157432,0.0017526728595930444,0.017480885681340434,posterior,1.757436567309481,hypothetical protein
SteCoe_10754,5085.33482109105,0.14419018095388889,0.06603503729568883,2.1835405393691283,0.028996026936679978,0.12600349190188526,anterior,0.899617419226036,DUF908 domain protein
SteCoe_10758,8666.15015999805,0.2332164495972148,0.05929203458513209,3.9333521143107397,8.376938541150523e-05,0.0018869319156933362,anterior,2.7242437697726043,Ribosomal_S24e domain protein
SteCoe_1076,6863.74676965414,0.20265635211872798,0.06639434489489834,3.052313452893182,0.0022708483111555738,0.021069938978745976,anterior,1.676336722162772,Ribosomal_L28e domain protein
SteCoe_10762,101.01526904120482,0.4221763948041493,0.2122260738820453,1.9892767513514567,0.04667066433857551,0.1729617088312984,anterior,0.7620500326163817,hypothetical protein
SteCoe_10765,104.14810435918154,-0.44871870803423686,0.21196808917105806,-2.116916323532649,0.03426695003531875,0.1406583916196244,posterior,0.8518343529023903,TTL domain protein
SteCoe_10769,1173.2831287276256,0.19166760941698127,0.0757280318436987,2.5309994826298903,0.01137380163612623,0.066779257667814,anterior,1.1753584129630497,SUI1 domain protein
SteCoe_10785,926.6288523925733,0.2973914410719721,0.09107283101525782,3.265424361543662,0.0010930019245275749,0.012443023731864428,anterior,1.9050740705701286,adh_short domain protein
SteCoe_10786,1739.8623482659548,0.1820540694397043,0.07764143818128007,2.344805476357069,0.019037008779543084,0.09474329032021836,anterior,1.0234515368225325,hypothetical protein
SteCoe_10791,461.7507984910224,-0.20842076415387692,0.10602335146100936,-1.965800564515495,0.049321652584749714,0.17931300542617384,posterior,0.7463882102705666,PP2C domain protein
SteCoe_10793,4346.085242541786,-0.43207076587964555,0.06610912132829465,-6.535720898996726,6.330387124903996e-11,4.224346458287498e-08,posterior,7.374240470504515,CENP-T_C domain protein
SteCoe_10798,967.7184059561974,0.3152197939766973,0.0977189414896402,3.2257798659241077,0.0012562994290907339,0.013828359798352336,anterior,1.859229329129185,adh_short domain protein
SteCoe_10802,1024.623633435504,0.2636886583711406,0.07993190975026478,3.298916029843352,0.0009705893978624844,0.011482529640972572,anterior,1.93996242482193,hypothetical protein
SteCoe_10804,180.43064296724415,-0.34519244209677763,0.16191676868781615,-2.1319128642094287,0.033014010477445954,0.13723597035923318,posterior,0.8625320425572959,RRM_1 domain protein
SteCoe_10808,188.9989128515111,-0.35563379254258687,0.16916352423281908,-2.102307776782479,0.03552632379180271,0.14392508409223204,posterior,0.8418635081241282,hypothetical protein
SteCoe_10810,341.7253948279843,-0.44991373197209095,0.1308350078078582,-3.438787060973969,0.0005843266589041273,0.007941897822204794,posterior,2.1000757047234186,hypothetical protein
SteCoe_10813,2680.791168238053,0.13632115817699433,0.05826100709710666,2.33983525121323,0.01929224802954328,0.09551742741082012,anterior,1.0199173829937116,RHD3 domain protein
SteCoe_10824,239.6381853025256,-0.3472713305110972,0.16989029418064552,-2.044091642703504,0.04094449461811738,0.15832106715362843,posterior,0.8004612914559666,hypothetical protein
SteCoe_10828,1725.3374518772043,0.17284479859663113,0.06858793583665025,2.5200466596382216,0.011733927880371687,0.06846073660039809,anterior,1.1645584323999052,WD40 domain protein
SteCoe_10830,334.7007767772174,0.28607184837233435,0.1267431476993241,2.257099129737488,0.024001881259432964,0.11046038198576111,anterior,0.9567934592653258,EF-hand_8 domain protein
